project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		expirationTime		Libraries/Renderer/oss/ReactNativeRenderer-dev.js:176734-176748|(5541,44)-(5541,58)	Add Parameter expirationTime in method 1.appendUpdateToQueue(queue ,update ,expirationTime) atLibraries/Renderer/oss/ReactNativeRenderer-dev.js|1.appendUpdateToQueue
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_FUNCTION	insertUpdateIntoQueue	appendUpdateToQueue	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:172688-173099|(5440,0)-(5455,1)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:176690-177257|(5541,0)-(5558,1)	Rename Method 1.insertUpdateIntoQueue(queue ,update) renamed to 1.appendUpdateToQueue(queue ,update ,expirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.insertUpdateIntoQueue
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		markLegacyErrorBoundaryAsFailed		Libraries/Renderer/oss/ReactNativeRenderer-dev.js:351917-351948|(10802,2)-(10802,33)	Add Parameter markLegacyErrorBoundaryAsFailed in method 1.ReactFiberUnwindWork(hostContext ,legacyContext ,newContext ,scheduleWork ,markLegacyErrorBoundaryAsFailed ,isAlreadyFailedLegacyErrorBoundary ,onUncaughtError) atLibraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberUnwindWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		onUncaughtError		Libraries/Renderer/oss/ReactNativeRenderer-dev.js:351990-352005|(10804,2)-(10804,17)	Add Parameter onUncaughtError in method 1.ReactFiberUnwindWork(hostContext ,legacyContext ,newContext ,scheduleWork ,markLegacyErrorBoundaryAsFailed ,isAlreadyFailedLegacyErrorBoundary ,onUncaughtError) atLibraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberUnwindWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	getCurrentFiberStackAddendum$1	getCurrentFiberStackAddendum$2	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:221773-221859|(6896,4)-(6897,53)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:225049-225135|(6982,4)-(6983,53)	Rename Variable getCurrentFiberStackAddendum$1 to getCurrentFiberStackAddendum$2 in 1() at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		renderExpirationTime		Libraries/Renderer/oss/ReactNativeRenderer-dev.js:205704-205724|(6417,57)-(6417,77)	Add Parameter renderExpirationTime in method 1.ReactFiberClassComponent.constructClassInstance(workInProgress ,props ,renderExpirationTime) atLibraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberClassComponent.constructClassInstance
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	didCaptureError		Libraries/Renderer/oss/ReactNativeRenderer-dev.js:268939-268954|(8386,4)-(8386,19)		Remove Parameter didCaptureError in method 1.ReactFiberBeginWork.finishClassComponent(current ,workInProgress ,shouldUpdate ,hasContext ,didCaptureError ,renderExpirationTime) from Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberBeginWork.finishClassComponent
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance2	_instance	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:316161-316348|(9710,16)-(9716,13)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:318936-319122|(9790,16)-(9796,13)	Rename Variable _instance2 to _instance in 1.ReactFiberCompleteWork.completeWork(current ,workInProgress ,renderExpirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberCompleteWork.completeWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance6	_instance5	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:338156-338191|(10381,10)-(10381,45)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:334524-334559|(10276,10)-(10276,45)	Rename Variable _instance6 to _instance5 in 1.ReactFiberCommitWork.commitAttachRef(finishedWork) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberCommitWork.commitAttachRef
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance7	_instance6	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:339599-339629|(10432,12)-(10432,42)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:335967-335997|(10327,12)-(10327,42)	Rename Variable _instance7 to _instance6 in 1.ReactFiberCommitWork.commitUnmount(current) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberCommitWork.commitUnmount
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance8	_instance7	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:353143-353178|(10830,12)-(10830,47)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:349370-349405|(10724,12)-(10724,47)	Rename Variable _instance8 to _instance7 in 1.ReactFiberCommitWork.commitWork(current ,finishedWork) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberCommitWork.commitWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	INLINE_FUNCTION	scheduleCapture	dispatch	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:413768-414274|(12685,2)-(12699,3)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:416686-418512|(12799,2)-(12855,3)	Inline Method 1.ReactFiberScheduler.scheduleCapture(sourceFiber ,boundaryFiber ,value ,expirationTime) inlined to 1.ReactFiberScheduler.dispatch(sourceFiber ,value ,expirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberScheduler.dispatch
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		renderExpirationTime		Libraries/Renderer/oss/ReactNativeRenderer-dev.js:354240-354260|(10870,4)-(10870,24)	Add Parameter renderExpirationTime in method 1.ReactFiberUnwindWork.throwException(returnFiber ,sourceFiber ,rawValue ,renderExpirationTime) atLibraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberUnwindWork.throwException
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	EXTRACT_FUNCTION	throwException	createRootErrorUpdate	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:320656-322490|(9854,2)-(9903,3)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:352305-352792|(10812,2)-(10825,3)	Extract Method 1.ReactFiberUnwindWork.createRootErrorUpdate(fiber ,errorInfo ,expirationTime) extracted from 1.ReactFiberUnwindWork.throwException(returnFiber ,sourceFiber ,rawValue) in  1.ReactFiberUnwindWork in file Libraries/Renderer/oss/ReactNativeRenderer-dev.js
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	updateQueue	update	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:321196-321236|(9869,14)-(9869,54)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:352380-352417|(10813,8)-(10813,45)	Rename Variable updateQueue to update in 1.ReactFiberUnwindWork.createRootErrorUpdate(fiber ,errorInfo ,expirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberUnwindWork.createRootErrorUpdate
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_updateQueue	error	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:321975-322016|(9887,16)-(9887,57)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:352639-352662|(10819,8)-(10819,31)	Rename Variable _updateQueue to error in 1.ReactFiberUnwindWork.createRootErrorUpdate(fiber ,errorInfo ,expirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.ReactFiberUnwindWork.createRootErrorUpdate
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	ErrLog	Snapshot	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:123411-123444|(3793,4)-(3793,37)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:123411-123444|(3792,4)-(3792,37)	Rename Variable ErrLog to Snapshot in 1() at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1
