project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_FUNCTION	scheduleLowPriCallback	scheduleAnimationCallback	src/renderers/noop/ReactNoop.js:2784-2862|(95,2)-(97,3)	src/renderers/noop/ReactNoop.js:2765-2849|(94,2)-(96,3)	Rename Method 1.scheduleLowPriCallback(callback) renamed to 1.scheduleAnimationCallback(callback) at src/renderers/noop/ReactNoop.js|1.scheduleLowPriCallback
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_FUNCTION	flushHighPri	flushAnimationPri	src/renderers/noop/ReactNoop.js:3182-3331|(117,2)-(124,3)	src/renderers/noop/ReactNoop.js:3256-3414|(120,2)-(127,3)	Rename Method 1.flushHighPri() renamed to 1.flushAnimationPri() at src/renderers/noop/ReactNoop.js|1.flushHighPri
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_FUNCTION	flushLowPri	flushDeferredPri	src/renderers/noop/ReactNoop.js:3336-3784|(126,2)-(143,3)	src/renderers/noop/ReactNoop.js:3419-3876|(129,2)-(146,3)	Rename Method 1.flushLowPri(timeout) renamed to 1.flushDeferredPri(timeout) at src/renderers/noop/ReactNoop.js|1.flushLowPri
react	6294b67a406d21cc6b65162e47497c1e8afe398f	RENAME_FILE	ReactDOMRoot-test.internal.js	ReactDOMRoot-test.js	packages/react-dom/src/__tests__/ReactDOMRoot-test.internal.js:0-9738|(1,0)-(374,0)	packages/react-dom/src/__tests__/ReactDOMRoot-test.js:0-9826|(1,0)-(373,0)	Rename File packages/react-dom/src/__tests__/ReactDOMRoot-test.internal.js renamed to packages/react-dom/src/__tests__/ReactDOMRoot-test.js
react	63aa7259b9f48886af545afcc06c29acf225b05f	MOVE_FUNCTION	getReactRootElementInContainer	getReactRootElementInContainer	src/browser/ui/getReactRootElementInContainer.js:609-837|(21,0)-(31,1)	src/browser/ui/ReactMount.js:2630-2858|(80,0)-(90,1)	Move Method    getReactRootElementInContainer(container) from getReactRootElementInContainer.js to getReactRootElementInContainer(container) at ReactMount.js
react	6c885d28c51ea30af0d8a4031dedcea98ef4114c	MOVE_FILE	NodeHandle.js	NodeHandle.js	src/renderers/native/vendor/react/platform/NodeHandle.js:0-3666|(1,0)-(84,0)	src/renderers/native/NodeHandle/NodeHandle.js:0-3666|(1,0)-(84,0)	Move File src/renderers/native/vendor/react/platform/NodeHandle.js to src/renderers/native/NodeHandle/NodeHandle.js
react	6c885d28c51ea30af0d8a4031dedcea98ef4114c	MOVE_FILE	UniversalWorkerNodeHandle.js	UniversalWorkerNodeHandle.js	src/renderers/native/vendor/react/platformImplementations/universal/worker/UniversalWorkerNodeHandle.js:0-481|(1,0)-(20,0)	src/renderers/native/NodeHandle/UniversalWorkerNodeHandle.js:0-481|(1,0)-(20,0)	Move File src/renderers/native/vendor/react/platformImplementations/universal/worker/UniversalWorkerNodeHandle.js to src/renderers/native/NodeHandle/UniversalWorkerNodeHandle.js
react	6c885d28c51ea30af0d8a4031dedcea98ef4114c	MOVE_FILE	PanResponder.js	PanResponder.js	src/renderers/native/vendor/react/browser/eventPlugins/PanResponder.js:0-17807|(1,0)-(379,0)	src/renderers/shared/event/eventPlugins/PanResponder.js:0-17807|(1,0)-(379,0)	Move File src/renderers/native/vendor/react/browser/eventPlugins/PanResponder.js to src/renderers/shared/event/eventPlugins/PanResponder.js
react	6c885d28c51ea30af0d8a4031dedcea98ef4114c	MOVE_FILE	TouchHistoryMath.js	TouchHistoryMath.js	src/renderers/native/vendor/react/browser/eventPlugins/TouchHistoryMath.js:0-3974|(1,0)-(123,0)	src/renderers/shared/event/eventPlugins/TouchHistoryMath.js:0-3974|(1,0)-(123,0)	Move File src/renderers/native/vendor/react/browser/eventPlugins/TouchHistoryMath.js to src/renderers/shared/event/eventPlugins/TouchHistoryMath.js
react	6e258c126696bf50e8df98ae96626f58e54753ef	MOVE_FUNCTION	isAttributeNameSafe	isAttributeNameSafe	packages/react-dom/src/client/DOMPropertyOperations.js:716-1225|(25,0)-(41,1)	packages/react-dom/src/shared/DOMProperty.js:4136-4645|(121,7)-(137,1)	Move Method    isAttributeNameSafe(attributeName) from DOMPropertyOperations.js to isAttributeNameSafe(attributeName) at DOMProperty.js
react	6e258c126696bf50e8df98ae96626f58e54753ef	MOVE_FUNCTION	isAttributeNameSafe	isAttributeNameSafe	packages/react-dom/src/server/DOMMarkupOperations.js:832-1341|(27,0)-(43,1)	packages/react-dom/src/shared/DOMProperty.js:4136-4645|(121,7)-(137,1)	Move Method    isAttributeNameSafe(attributeName) from DOMMarkupOperations.js to isAttributeNameSafe(attributeName) at DOMProperty.js
react	71f591501b639c4adf329e1f586c7e04875dde7f	RENAME_FUNCTION	findNextUnitOfWork	resetNextUnitOfWork	src/renderers/shared/fiber/ReactFiberScheduler.js:7857-10437|(249,2)-(320,3)	src/renderers/shared/fiber/ReactFiberScheduler.js:7696-9791|(246,2)-(304,3)	Rename Method 1.findNextUnitOfWork() renamed to 1.resetNextUnitOfWork() at src/renderers/shared/fiber/ReactFiberScheduler.js|1.findNextUnitOfWork
react	71f591501b639c4adf329e1f586c7e04875dde7f	RENAME_FUNCTION	clearErrors	handleCommitPhaseErrors	src/renderers/shared/fiber/ReactFiberScheduler.js:25134-26101|(749,2)-(775,3)	src/renderers/shared/fiber/ReactFiberScheduler.js:24496-26471|(738,2)-(783,3)	Rename Method 1.clearErrors() renamed to 1.handleCommitPhaseErrors() at src/renderers/shared/fiber/ReactFiberScheduler.js|1.clearErrors
react	71f591501b639c4adf329e1f586c7e04875dde7f	INLINE_FUNCTION	workLoopAsync	workLoop	src/renderers/shared/fiber/ReactFiberScheduler.js:26105-27633|(777,2)-(811,3)	src/renderers/shared/fiber/ReactFiberScheduler.js:26475-31322|(785,2)-(909,3)	Inline Method 1.workLoopAsync(minPriorityLevel ,deadline) inlined to 1.workLoop(minPriorityLevel ,deadline) at src/renderers/shared/fiber/ReactFiberScheduler.js|1.workLoop
react	71f591501b639c4adf329e1f586c7e04875dde7f	INLINE_FUNCTION	workLoopSync	workLoop	src/renderers/shared/fiber/ReactFiberScheduler.js:27637-28409|(813,2)-(833,3)	src/renderers/shared/fiber/ReactFiberScheduler.js:26475-31322|(785,2)-(909,3)	Inline Method 1.workLoopSync(minPriorityLevel) inlined to 1.workLoop(minPriorityLevel ,deadline) at src/renderers/shared/fiber/ReactFiberScheduler.js|1.workLoop
react	71f591501b639c4adf329e1f586c7e04875dde7f	EXTRACT_FUNCTION	performWork	performWorkCatchBlock	src/renderers/shared/fiber/ReactFiberScheduler.js:29020-35006|(859,2)-(1020,3)	src/renderers/shared/fiber/ReactFiberScheduler.js:31326-32118|(911,2)-(931,3)	Extract Method 1.performWorkCatchBlock(failedWork ,boundary ,minPriorityLevel ,deadline) extracted from 1.performWork(minPriorityLevel ,deadline) in  1 in file src/renderers/shared/fiber/ReactFiberScheduler.js
react	71f591501b639c4adf329e1f586c7e04875dde7f	CHANGE_VARIABLE_KIND	let	const	src/renderers/shared/fiber/ReactFiberScheduler.js:7499-7530|(236,6)-(236,37)	src/renderers/shared/fiber/ReactFiberScheduler.js:7312-7338|(232,8)-(232,34)	Change Variable KindNESTED_SYNC_UPDATE_LIMIT to NESTED_UPDATE_LIMIT in function 1(config) at src/renderers/shared/fiber/ReactFiberScheduler.js|1
react	71f591501b639c4adf329e1f586c7e04875dde7f	RENAME_VARIABLE	NESTED_SYNC_UPDATE_LIMIT	NESTED_UPDATE_LIMIT	src/renderers/shared/fiber/ReactFiberScheduler.js:7499-7530|(236,6)-(236,37)	src/renderers/shared/fiber/ReactFiberScheduler.js:7312-7338|(232,8)-(232,34)	Rename Variable NESTED_SYNC_UPDATE_LIMIT to NESTED_UPDATE_LIMIT in 1(config) at src/renderers/shared/fiber/ReactFiberScheduler.js|1
react	71f591501b639c4adf329e1f586c7e04875dde7f	RENAME_VARIABLE	nestedSyncUpdates	nestedUpdateCount	src/renderers/shared/fiber/ReactFiberScheduler.js:7470-7491|(235,6)-(235,27)	src/renderers/shared/fiber/ReactFiberScheduler.js:7346-7367|(233,6)-(233,27)	Rename Variable nestedSyncUpdates to nestedUpdateCount in 1(config) at src/renderers/shared/fiber/ReactFiberScheduler.js|1
react	808f31af5cc571880058281c3ba1e1c69ce8aa5c	ADD_PARAMETER		events		packages/events/EventPluginHub.js:5497-5560|(193,2)-(193,65)	Add Parameter events in method runEventsInBatch(events ,simulated) atpackages/events/EventPluginHub.js|runEventsInBatch
react	808f31af5cc571880058281c3ba1e1c69ce8aa5c	RENAME_FUNCTION	processEventQueue	runEventsInBatch	packages/events/EventPluginHub.js:5839-6667|(212,7)-(240,1)	packages/events/EventPluginHub.js:5468-6450|(192,7)-(227,1)	Rename Method processEventQueue(simulated) renamed to runEventsInBatch(events ,simulated) at packages/events/EventPluginHub.js|processEventQueue
react	808f31af5cc571880058281c3ba1e1c69ce8aa5c	RENAME_FUNCTION	handleTopLevelImpl	handleTopLevel	packages/react-dom/src/events/ReactDOMEventListener.js:2064-3019|(65,0)-(95,1)	packages/react-dom/src/events/ReactDOMEventListener.js:2129-3090|(66,0)-(96,1)	Rename Method handleTopLevelImpl(bookKeeping) renamed to handleTopLevel(bookKeeping) at packages/react-dom/src/events/ReactDOMEventListener.js|handleTopLevelImpl
react	83f76e4db9a060911774f497b5715bd4d4f42a9c	RENAME_VARIABLE	componentClass	type	packages/react/src/ReactElementValidator.js:6584-6613|(216,8)-(216,37)	packages/react/src/ReactElementValidator.js:6911-6930|(230,8)-(230,27)	Rename Variable componentClass to type in validatePropTypes(element) at packages/react/src/ReactElementValidator.js|validatePropTypes
