id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags													
	Chart.js	a86c47cf480e8d86ea03a121e9b6552a17aae41d	RENAME_FUNCTION	getAveragePosition	average	src/core/core.tooltip.js:2569-3176	src/core/core.tooltip.js:22565-22987	FN	TP	Move and Rename?		VN													
	Chart.js	d21a853f30a87a4cb0fe6c6f2bb39320c0404c19	EXTRACT_FUNCTION	initialize	getBaseModel	src/core/core.tooltip.js:3880-6013|160	src/core/core.tooltip.js:3899-5896|161	FN	TP																
	Chart.js	fb3ea03440769a267880ba8721d14a3939792718	RENAME_FILE	core.plugin.js	core.plugins.js	src/core/core.plugin.js:0-14122|1	src/core/core.plugins.js:0-13123|1	FN	TP			InlinedObjectExpressionToParentAnonymousFunction,NotSupportedByRM													
	create-react-app	0e51eef6d7694fbfc4a8fe952bd73b65af2220dd	RENAME_FILE	registerServiceWorker.js	serviceWorker.js	packages/react-scripts/template/src/registerServiceWorker.js:0-4384|(1,0)-(118,0)	packages/react-scripts/template/src/serviceWorker.js:0-4376|(1,0)-(118,0)	TP	TP																
	create-react-app	72b6eb8c3c65e6ed0f2413708069287311a386c2	EXTRACT_FUNCTION	printHostingInstructions	printBaseMessage	packages/react-dev-utils/printHostingInstructions.js:335-4106|(15,0)-(134,1)	packages/react-dev-utils/printHostingInstructions.js:1141-1921|(44,0)-(71,1)	TP	TP																
	create-react-app	72b6eb8c3c65e6ed0f2413708069287311a386c2	EXTRACT_FUNCTION	printHostingInstructions	printDeployInstructions	packages/react-dev-utils/printHostingInstructions.js:335-4106|(15,0)-(134,1)	packages/react-dev-utils/printHostingInstructions.js:1923-3029|(73,0)-(107,1)	TP	TP																
	create-react-app	72b6eb8c3c65e6ed0f2413708069287311a386c2	EXTRACT_FUNCTION	printHostingInstructions	printStaticServerInstructions	packages/react-dev-utils/printHostingInstructions.js:335-4106|(15,0)-(134,1)	packages/react-dev-utils/printHostingInstructions.js:3031-3448|(109,0)-(121,1)	TP	TP																
	create-react-app	9559ba486e085b6956580ebbc6dad1d7ef4c26e2	RENAME_FUNCTION	fixDependencies	setCaretRangeForRuntimeDeps	packages/create-react-app/createReactApp.js:16351-17230|(536,0)-(560,1)	packages/create-react-app/createReactApp.js:16065-16778|(530,0)-(549,1)	TP	TP																
	create-react-app	cd3d04b71e91f533bdbdc3856775e1da81d445cf	MOVE_FUNCTION	render	render	packages/react-error-overlay/src/index.js:3777-4287|128	packages/react-error-overlay/src/iframeScript.js:534-1015|18			Too Complex		VN													
	create-react-app	cd3d04b71e91f533bdbdc3856775e1da81d445cf	EXTRACT_MOVE_FUNCTION	updateIframeContent	updateContent	packages/react-error-overlay/src/index.js:4289-4885|147	packages/react-error-overlay/src/iframeScript.js:1040-1329|39			Too Complex		VN													
	create-react-app	cd3d04b71e91f533bdbdc3856775e1da81d445cf	INLINE_FUNCTION	render	updateIframeContent	packages/react-error-overlay/src/index.js:3777-4287|(128,0)-(145,1)	packages/react-error-overlay/src/index.js:3459-4009|(123,0)-(144,1)			Too Complex		VN													
	create-react-app	fbdff9d722d6ce669a090138022c4d3536ae95bb	RENAME_VARIABLE	gzipSize	measureFileSizesBeforeBuild	packages/react-scripts/scripts/build.js:899-935|(26,4)-(26,40)	packages/react-scripts/scripts/build.js:1132-1206|(30,4)-(30,78)	FP		Missed previousSizeMap to previousFileSizes	Rename Variable gzipSize to measureFileSizesBeforeBuild in build.js() at null														
	create-react-app	fbdff9d722d6ce669a090138022c4d3536ae95bb	MOVE_FUNCTION	getDifferenceLabel	getDifferenceLabel	packages/react-scripts/scripts/build.js:1702-2189|(51,0)-(64,1)	packages/react-dev-utils/FileSizeReporter.js:2166-2653|(69,0)-(82,1)	TP	TP		Move Method getDifferenceLabel(currentSize ,previousSize) from build.js to getDifferenceLabel(currentSize ,previousSize) at FileSizeReporter.js														
	create-react-app	fbdff9d722d6ce669a090138022c4d3536ae95bb	MOVE_FUNCTION	removeFileNameHash	removeFileNameHash	packages/react-scripts/scripts/build.js:1490-1658|43	packages/react-dev-utils/FileSizeReporter.js:1944-2122|61	FN	TP	Moved to another file		FluentAPI,MovedToAddedFile,Fixable													
	d3	0a39765f3cbcb940e6fb354cec010a7ffeba9289	EXTRACT_FUNCTION	d3_geo_circleClipPolygon	d3_geo_circleLinkCircular	d3.js:191694-195054|5606	d3.js:194853-195038|5707	FN	TP			MC,SplitArray,NotSupportedByRM													
	d3	0a39765f3cbcb940e6fb354cec010a7ffeba9289	EXTRACT_FUNCTION	d3_geo_circleClipPolygon	d3_geo_circleLinkCircular	src/geo/circle.js:5603-8795|174	src/geo/circle.js:8616-8788|266	FN	TP			MC,SplitArray,NotSupportedByRM													
	d3	0a39765f3cbcb940e6fb354cec010a7ffeba9289	EXTRACT_MOVE_FUNCTION	d3_geo_circleClipPolygon	d3_geo_circleLinkCircular	src/geo/circle.js:5603-8795|174	d3.js:194853-195038|5707	TN	FP	Extracted, reported in another ref		MC													
	express	4012846d2534addd8de0b0c237cd63ada104109a	MOVE_FILE	client.js	client.js	examples/search/client.js:0-374|(1,0)-(13,10)	examples/search/public/client.js:0-374|(1,0)-(13,10)	TP	TP																
	express	12bc16e72fe34ce7e3658679b694e47dce56ae7a	MOVE_FUNCTION	shouldNotHaveHeader	shouldNotHaveHeader	test/res.send.js:13314-13474|(569,0)-(573,1)	test/support/utils.js:309-471|(20,0)-(24,1)	TP	TP																
	express	12bc16e72fe34ce7e3658679b694e47dce56ae7a	MOVE_FUNCTION	shouldNotHaveHeader	shouldNotHaveHeader	test/res.vary.js:1984-2146|(92,0)-(96,1)	test/support/utils.js:309-471|(20,0)-(24,1)	TP	Fn																
	express	d9d09b8b9041504b645f3173ca70ef173c7e1563	RENAME_FUNCTION	etag	createETagGenerator	lib/utils.js:703-848|34	lib/utils.js:5412-5624|273	TN	FP	Extracted		MC													
	express	d9d09b8b9041504b645f3173ca70ef173c7e1563	EXTRACT_FUNCTION	etag	createETagGenerator	lib/utils.js:703-848|34	lib/utils.js:5412-5624|273	FN	FN	Manual inspection, also from wtag															
	express	dab9222942cb9f7c3ff17abad4e0f6137c9e2cfc	EXTRACT_FUNCTION	handle	sendOptionsResponse	lib/router/index.js:2871-6970|122	lib/router/index.js:13021-13200|573	FN	TP			Fixable													
	express	f5a240636d71781c7875191d2048279efce5ad56	EXTRACT_FUNCTION	render	tryRender	lib/application.js:11774-13266|531	lib/application.js:14153-14285|638	FN	TP	Extracted to parent container, easy		ExtractedOutsideOfAnonymous													
	jquery	1ea092a54b00aa4d902f4e22ada3854d195d4a18	MOVE_RENAME_FUNCTION	type	toType	src/core.js:5630-5883|240	src/core/toType.js:105-357|8	FN	TP	Extracted to another file		MethodMovedFromOneAnonymousToAnotherAddedFilesAnonymous,NotSupportedByRM													
	jquery	93a8fa6bfc1c8a469e188630b61e736dfb69e128	RENAME_FUNCTION	parseJSON	parse	test/unit/data.js:11987-12054|339	test/unit/data.js:11975-12042|339	FN	TP			FunctionVariableRenamed													
	jquery	ac9e3016645078e1e42120822cfb2076151c8cbe	MOVE_FUNCTION	nodeName	nodeName	src/core.js:7097-7202|292	src/core/nodeName.js:37-152|5	FN	TP			MethodMovedFromOneAnonymousToAnotherAddedFilesAnonymous,NotSupportedByRM													
	jquery	e4fd41f8fa4190fbbb6cb98cf7ace64f6e00685d	EXTRACT_FUNCTION	dataAttr	getData	src/data.js:739-1513|23	src/data.js:739-1092|23	FN	TP	Fixable, easy ref		SubExp,NotSupportedByRM													
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	ADD_PARAMETER		force		external/qunit/qunit.js:58766-58771|(2472,34)-(2472,39)				Add Parameter force in method 3.toggleClass(elem ,name ,force) atexternal/qunit/qunit.js|3.toggleClass														
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	ADD_PARAMETER		resultInfo		external/qunit/qunit.js:33719-33729|(1428,23)-(1428,33)				Add Parameter resultInfo in method 1.5.pushResult(resultInfo) atexternal/qunit/qunit.js|1.5.pushResult														
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_FUNCTION	testInModuleChain	moduleChainNameMatch	external/qunit/qunit.js:27468-27784|(1142,2)-(1151,3)	external/qunit/qunit.js:25899-26221|(1084,2)-(1093,3)	TP	TP		Rename Method 1.3.valid.testInModuleChain(testModule) renamed to 1.3.valid.moduleChainNameMatch(testModule) at external/qunit/qunit.js|1.3.valid.testInModuleChain														
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_FUNCTION	push	pushResult	external/qunit/qunit.js:33799-34827|(1433,1)-(1457,2)	external/qunit/qunit.js:33697-34763|(1428,1)-(1455,2)	FP	FP	Extracted	Rename Method 1.5.push() renamed to 1.5.pushResult(resultInfo) at external/qunit/qunit.js|1.5.push														
