id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags
77	angular.js	b7bb797e5c7bdc93f2ffca39baf6e112e6dddbe2	EXTRACT_FUNCTION	parseObservedDateValue	parseDateAndConvertTimeZoneToLocal	src/ng/directive/input.js:71273-71398	src/ng/directive/input.js:71314-71585	FN	FN			
78	angular.js	b7bb797e5c7bdc93f2ffca39baf6e112e6dddbe2	EXTRACT_MOVE_FUNCTION	createDateInputType	parseDateAndConvertTimeZoneToLocal	src/ng/directive/input.js:68982-71405	src/ng/directive/input.js:71314-71585	FN	FN	Contents move to extracted function		
79	angular.js	b7d396b8b6e8f27a1f4556d58fc903321e8d532a	EXTRACT_FUNCTION	jqLiteRemoveData	removeIfEmptyData	src/jqLite.js:13285-13796|(352,0)-(371,1)	src/jqLite.js:12332-12762|(323,0)-(334,1)	TP	FN			
80	angular.js	bf5c2eef34a314d5d2298fdcb6deaa7282cc563f	RENAME_FUNCTION	jqLiteCleanData	cleanData	src/jqLite.js:9336-9459	src/jqLite.js:20541-20672	TN	FP	complex FP, inline var		
81	angular.js	c39936ee26f00d8256c79df07096f03196811df5	EXTRACT_FUNCTION	commitRoute	resolveLocalsFor	src/ngRoute/route.js:22178-24264	src/ngRoute/route.js:24001-24316	FN	TP	Fixable		
82	angular.js	cdaa6a951b8fce67673bec224a7ad1f24f0a05bf	EXTRACT_MOVE_FUNCTION	processChecks	markQStateExceptionHandled	src/ng/q.js:14036-14537	src/ng/q.js:22824-22890	FN	TP			
83	angular.js	cdaa6a951b8fce67673bec224a7ad1f24f0a05bf	EXTRACT_MOVE_FUNCTION	processQueue	markQStateExceptionHandled	src/ng/q.js:13214-14032	src/ng/q.js:22824-22890	FN	TP			
84	angular.js	cdaa6a951b8fce67673bec224a7ad1f24f0a05bf	EXTRACT_MOVE_FUNCTION	scheduleProcessQueue	isStateExceptionHandled	src/ng/q.js:14541-14969	src/ng/q.js:22758-22823	FN	FN			
85	angular.js	d9ca2459172a3ad62f0a19b8b1306d739c4b75b7	EXTRACT_FUNCTION	annotate	extractArgs	src/auto/injector.js:2677-3672	src/auto/injector.js:2344-2481	FN	TP	Fixable		MC
86	angular.js	d9ca2459172a3ad62f0a19b8b1306d739c4b75b7	EXTRACT_FUNCTION	anonFn	extractArgs	src/auto/injector.js:2344-2675|(71,0)-(80,1)	src/auto/injector.js:2344-2481|(71,0)-(75,1)	TP	TP			
