project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	9015e72ae1ddebe38ba90a538ee2556a46ee3daa	EXTRACT_FUNCTION	fit	getBoxWidth	src/core/core.legend.js:3909-7436	src/core/core.legend.js:2093-2224					
chart-js	979341ecb094d9c6a95de8a47e7836f01587e7d2	EXTRACT_FUNCTION	draw	drawDatasets	src/core/core.controller.js:12139-13011	src/core/core.controller.js:12549-13049					
chart-js	979341ecb094d9c6a95de8a47e7836f01587e7d2	EXTRACT_FUNCTION	update	updateLayout	src/core/core.controller.js:8261-9539	src/core/core.controller.js:9532-9989					
chart-js	9f3b51a80ce96578718267711e8b65c1ec8c25c1	EXTRACT_MOVE_FUNCTION	determineDataLimits	appendLabel	src/scales/scale.time.js:3130-5316	src/scales/scale.time.js:2924-3168					
chart-js	a0077d41178e576aa473490b13adf2c695bf2faa	RENAME_FUNCTION	Controller	construct	src/core/core.controller.js:1784-3058	src/core/core.controller.js:1773-3347					
chart-js	a0a195f353467a71cbf73aef086249902c53c5a4	EXTRACT_FUNCTION	update	_updateRadius	src/controllers/controller.polarArea.js:2876-3730	src/controllers/controller.polarArea.js:3493-4172					
chart-js	a86c47cf480e8d86ea03a121e9b6552a17aae41d	EXTRACT_FUNCTION	eventHandler	handleEvent	src/core/core.controller.js:19397-21506	src/core/core.controller.js:20075-21160	TP	TP		Extract Method 1.2.handleEvent(e) extracted from 1.2.eventHandler(e) in  1.2 in file src/core/core.controller.js	
chart-js	a86c47cf480e8d86ea03a121e9b6552a17aae41d	RENAME_FUNCTION	getAveragePosition	average	src/core/core.tooltip.js:2569-3176	src/core/core.tooltip.js:22565-22987			Move and Rename?		VN
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	draw	parseFontOptions	src/core/core.scale.js:14580-24353	src/core/core.scale.js:1143-1653	FN	TP			BF
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	calculateTickRotation	parseFontOptions	src/core/core.scale.js:4554-7121	src/core/core.scale.js:1143-1653	FN	TP			BF
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	fit	handleMargins	src/core/core.scale.js:7347-11506	src/core/core.scale.js:10211-10549	TP	TP			BF
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	fit	parseFontOptions	src/core/core.scale.js:7347-11506	src/core/core.scale.js:1143-1653	FN	TP			BF
