project	commit_id	refactoring_type	location_before	name_before	location_after	name_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13524-13588	easeOutSine	src/helpers/helpers.easing.js:1308-1362	easeOutSine					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13607-13676	easeInOutSine	src/helpers/helpers.easing.js:1381-1442	easeInOutSine					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13692-13770	easeInExpo	src/helpers/helpers.easing.js:1458-1526	easeInExpo					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13787-13867	easeOutExpo	src/helpers/helpers.easing.js:1543-1611	easeOutExpo					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13886-14104	easeInOutExpo	src/helpers/helpers.easing.js:1630-1831	easeInOutExpo					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:14120-14223	easeInCirc	src/helpers/helpers.easing.js:1847-1934	easeInCirc					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:14240-14307	easeOutCirc	src/helpers/helpers.easing.js:1951-2008	easeOutCirc					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:14326-14476	easeInOutCirc	src/helpers/helpers.easing.js:2027-2166	easeInOutCirc					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:14495-14880	easeInElastic	src/helpers/helpers.easing.js:2185-2539	easeInElastic					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:14900-15280	easeOutElastic	src/helpers/helpers.easing.js:2559-2908	easeOutElastic					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:15302-15824	easeInOutElastic	src/helpers/helpers.easing.js:2930-3413	easeInOutElastic					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:15840-15925	easeInBack	src/helpers/helpers.easing.js:3428-3499	easeInBack					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:15942-16040	easeOutBack	src/helpers/helpers.easing.js:3516-3601	easeOutBack					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:16059-16260	easeInOutBack	src/helpers/helpers.easing.js:3620-3809	easeInOutBack					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:16278-16345	easeInBounce	src/helpers/helpers.easing.js:3827-3886	easeInBounce					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:16364-16699	easeOutBounce	src/helpers/helpers.easing.js:3905-4194	easeOutBounce					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:16720-16880	easeInOutBounce	src/helpers/helpers.easing.js:4215-4352	easeInOutBounce					MC, VN
chart-js	5ad1b4ade7d78eced9c98c4beb678861a41039b7	EXTRACT_MOVE_FUNCTION	src/scales/scale.time.js:1881-3840	determineDataLimits	src/scales/scale.time.js:3516-3875	parse			Too Complex		VN
chart-js	5ad1b4ade7d78eced9c98c4beb678861a41039b7	EXTRACT_MOVE_FUNCTION	src/scales/scale.time.js:7478-8023	getPixelForValue	src/scales/scale.time.js:3516-3875	parse			Too Complex		VN
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_FUNCTION	src/helpers/helpers.core.js:1564-1661	getValueOrDefault	src/helpers/helpers.core.js:1561-1658	valueOrDefault	FN	TP			MC
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_FUNCTION	src/helpers/helpers.core.js:2036-2293	getValueAtIndexOrDefault	src/helpers/helpers.core.js:2030-2166	valueAtIndexOrDefault	FN	TP			MC
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	src/core/core.scale.js:1276-1321	getValueOrDefault	src/core/core.scale.js:1276-1315	valueOrDefault	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.parseFontOptions(options) at src/core/core.scale.js|1.parseFontOptions	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	src/core/core.tooltip.js:3614-3659	getValueOrDefault	src/core/core.tooltip.js:3614-3653	valueOrDefault	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.getBaseModel(tooltipOpts) at src/core/core.tooltip.js|1.getBaseModel	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	src/plugins/plugin.legend.js:4677-4718	itemOrDefault	src/plugins/plugin.legend.js:4677-4716	valueOrDefault	TP			Rename Variable itemOrDefault to valueOrDefault in 1.1.fit() at src/plugins/plugin.legend.js|1.1.fit	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	src/plugins/plugin.legend.js:8315-8356	itemOrDefault	src/plugins/plugin.legend.js:8316-8355	valueOrDefault	TP			Rename Variable itemOrDefault to valueOrDefault in 1.1.draw() at src/plugins/plugin.legend.js|1.1.draw	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	src/scales/scale.radialLinear.js:14576-14621	getValueOrDefault	src/scales/scale.radialLinear.js:14546-14585	valueOrDefault	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.1.draw() at src/scales/scale.radialLinear.js|1.1.draw	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	src/scales/scale.radialLinear.js:6589-6634	getValueOrDefault	src/scales/scale.radialLinear.js:6580-6619	valueOrDefault	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.drawPointLabels(scale) at src/scales/scale.radialLinear.js|1.drawPointLabels	
chart-js	6269e2c437a8beccc2516a1635491ab60371950f	RENAME_FUNCTION	test/scale.time.tests.js:13110-13159	getOutOfBoundPixelForValue	test/scale.time.tests.js:13108-13157	getOutOfBoundLabelMoment	FN	TP	Easy Missed BY RM		
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	src/core/core.tooltip.js:14694-16135	drawCaret	src/core/core.tooltip.js:147-297	mergeOpacity					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	src/core/core.tooltip.js:16150-16944	drawTitle	src/core/core.tooltip.js:147-297	mergeOpacity					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	src/core/core.tooltip.js:16958-18938	drawBody	src/core/core.tooltip.js:147-297	mergeOpacity					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	src/core/core.tooltip.js:18954-19535	drawFooter	src/core/core.tooltip.js:147-297	mergeOpacity					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	src/core/core.tooltip.js:19555-19850	drawBackground	src/core/core.tooltip.js:147-297	mergeOpacity					
chart-js	6bea15e7cf89003e3a5945a20cf1d2cc5096728e	RENAME_FILE	test/specs/core.layoutService.tests.js:0-14600	core.layoutService.tests.js	test/specs/core.layouts.tests.js:0-14950	core.layouts.tests.js	TP	TP		Rename File test/specs/core.layoutService.tests.js renamed to test/specs/core.layouts.tests.js	
chart-js	6bea15e7cf89003e3a5945a20cf1d2cc5096728e	RENAME_FILE	src/core/core.layout.js:0-14667	core.layout.js	src/core/core.layouts.js:0-14667	core.layouts.js	TP	TP		Rename File src/core/core.layout.js renamed to src/core/core.layouts.js	
chart-js	6e57405a0a7885ec5099e8b8bd7b26822effa628	MOVE_FILE	samples/area/analyser.js:0-1399	analyser.js	samples/charts/area/analyser.js:0-1399	analyser.js	TP	TP		Move File samples/area/analyser.js to samples/charts/area/analyser.js	
chart-js	6ec6a929f06c01c053d75378030724749f50bcc9	ADD_PARAMETER								Add Parameter distanceMetric in method 1.getNearestItems(chart ,position ,intersect ,distanceMetric) atsrc/core/core.interaction.js|1.getNearestItems	
chart-js	7205ff5e2aa4515bae0c62bb9d8355745837270e	RENAME_FUNCTION	test/platform.dom.tests.js:7359-7409	onEvent	test/platform.dom.tests.js:7362-7412	afterEvent					
chart-js	7205ff5e2aa4515bae0c62bb9d8355745837270e	RENAME_FUNCTION	src/core/core.legend.js:14903-15031	onEvent	src/core/core.legend.js:14903-15034	afterEvent	TP	TP		Rename Method 1.1.onEvent(chartInstance ,e) renamed to 1.1.afterEvent(chartInstance ,e) at src/core/core.legend.js|1.1.onEvent	
chart-js	7756bedec6937eb7a65b7bc530dd2010d0901efe	EXTRACT_FUNCTION	src/core/core.scale.js:13272-13485	getBasePixel	src/core/core.scale.js:13361-13549	getBaseValue	TP	TP		Extract Method 1.1.getBaseValue() extracted from 1.1.getBasePixel() in  1.1 in file src/core/core.scale.js	
chart-js	7e5e29e3ee15100de599124b4951d50f3aad5f57	EXTRACT_FUNCTION	src/scales/scale.radialLinear.js:9874-14784	draw	src/scales/scale.radialLinear.js:5846-6156	fillText					
